name,city,area,class,lat,lng,tel,tel2,address,update_time,memo
台灣基督長老教會嘉義博愛教會,嘉義市,,基督教,23.487569,120.4441558,05-2323014,,嘉義市博愛路一段320巷19號,2017/4/12 14:26,
財團法人中華基督教嘉義浸信會,嘉義市,,基督教,23.4776833,120.4497397,05-2220128,,嘉義市文化路81號,2017/4/12 14:26,
財團法人嘉義市基督徒聚會,嘉義市,,基督教,23.4699152,120.4614032,05-2761616,05-2232372,嘉義市興業東路316號2樓2,2017/4/12 14:26,
財團法人台灣省嘉義市基督教浸禮聖經會嘉義會幕堂,嘉義市,,基督教,23.4822333,120.4487847,05-2271135,,嘉義市民權路364號,2017/4/12 14:26,
財團法人基督教嘉義教會聚會所,嘉義市,,基督教,23.4795027,120.4558285,05-2222090,,嘉義市中正路167號,2017/4/12 14:26,
財團法人嘉義市基督教錫安堂,嘉義市,,基督教,23.4801541,120.4521144,05-2385082,,嘉義市成仁街173號2樓,2017/4/12 14:26,
財團法人新約教會嘉義教會,嘉義市,,基督教,23.4747853,120.4609138,05-2283830,,嘉義市垂楊路862巷17號4樓,2017/4/12 14:26,
基督教台灣貴格會南門教會,嘉義市,,基督教,23.4763031,120.4595058,05-2784754,,嘉義市融和街35號,2017/4/12 14:26,
台灣基督教貴格會活水教會,嘉義市,,基督教,23.4742243,120.4416776,05-2271270,,嘉義市康樂街254號,2017/4/12 14:26,
基督教台灣貴格會圳頭里教會,嘉義市,,基督教,23.492521,120.478852,05-2760439,,嘉義市林森東路794號,2017/4/12 14:26,
財團法人基督復臨安息日會台灣區會嘉義教會,嘉義市,,基督教,23.47664,120.434253,05-2333677,,嘉義市友愛路23號,2017/4/12 14:26,
財團法人基督教會台灣宣道長老會總會(基督教會嘉義救恩堂),嘉義市,,基督教,23.4777335,120.4597738,05-2786614,,嘉義市延平街27號,2017/4/12 14:26,
嘉義聖教會,嘉義市,,基督教,23.4647106,120.4340024,05-2354643,,嘉義市重慶路259號,2017/4/12 14:26,
基督教聖公會聖彼得堂,嘉義市,,基督教,23.4749263,120.4517817,05-2231884,,嘉義市興中街8號,2017/4/12 14:26,
中華福音道路德會救主堂,嘉義市,,基督教,23.49034,120.4409368,0931-039995,,嘉義市龍江街63號,2017/4/12 14:26,
基督教路德會救恩堂,嘉義市,,基督教,23.4719906,120.4418686,05-2852382,,嘉義市建成街19號,2017/4/12 14:26,
基督教福全福音堂,嘉義市,,基督教,23.4744181,120.4342923,05-2358843,,嘉義市信義路83巷53之1號,2017/4/12 14:26,
路德會施恩堂,嘉義市,,基督教,23.47777,120.4603453,05-2271308,,嘉義市延平路140-1號,2017/4/12 14:26,
路德會嘉興堂,嘉義市,,基督教,23.4832832,120.4632884,05-2763011,,嘉義市啟明路247號7F,2017/4/12 14:26,
福音宣道會嘉義福音堂,嘉義市,,基督教,23.4842545,120.4520916,05-2783010,,嘉義市吳鳳北路389號2樓,2017/4/12 14:26,
中華基督教衛理公會嘉義衛理堂,嘉義市,,基督教,23.4816692,120.4589811,05-2783452,,嘉義市維新路66號,2017/4/12 14:26,
台灣信義會嘉南教會,嘉義市,,基督教,23.4698958,120.4603486,05-2272549,,嘉義市興業東路311號,2017/4/12 14:26,
信義會蘭潭教會,嘉義市,,基督教,23.4802464,120.4845489,05-2755665,,嘉義市大雅路一段846號,2017/4/12 14:26,
信義會道上教會,嘉義市,,基督教,23.471966,120.447308,05-2256663,,民生南路55巷2號4F,2017/4/12 14:26,
貴格會宣教士,嘉義市,,基督教,23.495736,120.4650919,05-2762275,,嘉義市義教街163號,2017/4/12 14:26,
基督教約書亞教會,嘉義市,,基督教,23.4741382,120.4520652,05-2277007,,嘉義市垂楊路316號10F-2,2017/4/12 14:26,
真耶穌教會嘉義教會,嘉義市,,基督教,23.4791131,120.4572355,05-2212716,,嘉義市和平路138號,2017/4/12 14:26,
真耶穌教會北興教會,嘉義市,,基督教,23.4772553,120.4360795,05-2314153,,嘉義市博愛路二段302號,2017/4/12 14:26,
真耶穌教會西門教會,嘉義市,,基督教,23.471536,120.447829,05-2272268,,嘉義市崇文街154號,2017/4/12 14:26,
橄欖園,嘉義市,,基督教,23.493924,120.4559889,05-2711847,,嘉義市嘉北街66巷14號,2017/4/12 14:26,
財團法人嘉義市基督教墓園管理委員會,嘉義市,,基督教,23.5008514,120.4546577,05-2784336,,嘉義市保健街30號之10,2017/4/12 14:26,
蕭月瑕愛牧基金會,嘉義市,,基督教,23.4788684,120.469963,05-2768541,,嘉義市大雅路二段578巷77號,2017/4/12 14:26,
財團法人私立嘉義市基督教社會福利慈善事業基金會,嘉義市,,基督教,23.500881,120.454822,05-2764001,,嘉義市保建街30號之10,2017/4/12 14:26,
嘉義市基督教聯合發展協會,嘉義市,,基督教,23.5005268,120.4542291,05-2271135,,嘉義市保建街38號,2017/4/12 14:26,
嘉義西區靈糧堂,嘉義市,,基督教,23.4841644,120.4338557,05-2340845,,嘉義市友愛路288號7樓-2,2017/4/12 14:26,
嘉義東區靈糧堂,嘉義市,,基督教,23.4842814,120.4486171,05-2168985,,嘉義市林森西路171號3樓,2017/4/12 14:26,
生命泉教會,嘉義市,,基督教,23.464878,120.4186005,05-2843635,,嘉義市自強街226號,2017/4/12 14:26,
耶穌基督後期聖徒教會,嘉義市,,基督教,23.4678926,120.4428544,05-2859758,,嘉義市仁愛路125號,2017/4/12 14:26,
天理教嘉義東門教會,嘉義市,,基督教,23.4807408,120.4578543,05-2787320,,嘉義市安和街106號,2017/4/12 14:26,
天理教嘉義市教會,嘉義市,,基督教,23.4666718,120.4603984,05-2291982,,嘉義市南興路72巷13號,2017/4/12 14:26,
天理教諸羅教會,嘉義市,,基督教,23.4680608,120.4143109,05-2840672,,嘉義市大和街181號,2017/4/12 14:26,
天理教沛源佈道所,嘉義市,,基督教,23.4647062,120.4637811,05-2229996,,嘉義市宣信街98巷60號,2017/4/12 14:26,
嘉義基督教宋思教會,嘉義市,,基督教,23.5024961,120.4545304,05-2767044,,嘉義市保愛二街一號,2017/4/12 14:26,
嘉義市基督教慕義教會,嘉義市,,基督教,23.4832489,120.4548457,05-2779250,,嘉義市民權路200號9F-2,2017/4/12 14:26,
我們家的教會,嘉義市,,基督教,23.4880149,120.4281952,05-2318225,,嘉義市國揚五街25號,2017/4/12 14:26,
財團法人台灣省嘉義市城隍廟,嘉義市,東區,道教,23.4784009,120.4533659,05-2228419,,嘉義市東區民族里吳鳳北路168號,2017/4/12 14:01,城隍尊神
財團法人九華山地藏庵,嘉義市,東區,佛教,23.4832063,120.4566214,05-2782555,,嘉義市東區中山里民權路255號,2017/4/12 14:01,地藏王菩薩
財團法人台灣省嘉義市先天玉虛宮,嘉義市,東區,道教,23.473944,120.5080807,05-2762838,,嘉義市東區盧厝里紅毛埤5-2號,2017/4/12 14:01,元始天尊
財團法人台灣省嘉義市天后宮,嘉義市,林森,道教,23.4869846,120.4568492,05-2781152,,嘉義市林森里林森東路113號,2017/4/12 14:01,天上聖母
財團法人嘉義市朝天宮,嘉義市,西區,道教,23.476128,120.45764,05-2285977,,嘉義市西區文化里延平街276號,2017/4/12 14:01,天上聖母
財團法人台灣省嘉義市大天宮,嘉義市,東區,道教,23.483115,120.4605524,05-2782303,,嘉義市東區朝陽里和平路84號,2017/4/12 14:01,神農聖帝 伏羲聖帝  軒轅聖帝
財團法人聖廟太元宮,嘉義市,東區,道教,23.4880747,120.4609429,05-2780490,,嘉義市東區中山里安樂街74號,2017/4/12 14:01,玉皇大天尊玄靈高上帝
財團法人嘉義市南屏宮,嘉義市,東區,一貫道,23.4769305,120.4602314,05-2764126,,嘉義市東區太平里林森東路171號,2017/4/12 14:01,濟公活佛
財團法人台灣省嘉義市增光寺,嘉義市,東區,佛教,23.4811958,120.4513367,05-2786170,,嘉義市東區朝陽里民族路51號,2017/4/12 14:01,釋迦牟尼佛
財團法人臺灣省嘉義市太元寺,嘉義市,東區,佛教,23.4760916,120.4607205,05-2275833,,嘉義市東區中央里成仁街207巷2號,2017/4/12 14:01,釋迦牟尼佛
財團法人嘉義市普德寺,嘉義市,東區,佛教,23.4817398,120.4554721,05-2785931,,嘉義市東區朝陽里民國路45號,2017/4/12 14:01,釋迦牟尼佛
財團法人嘉義市普濟寺,嘉義市,東區,佛教,23.47772,120.4582913,05-2279682,,嘉義市東區中山里中山路144號,2017/4/12 14:01,南無觀世音菩薩
財團法人台灣省嘉義市南嶽殿,嘉義市,東區,佛教,23.47772,120.4582913,05-2789918,,嘉義市東區華南里安和街64號,2017/4/12 14:01,地藏王菩薩
財團法人台灣省嘉邑鎮天宮,嘉義市,東區,道教,23.4683906,120.4597774,05-2225140,,嘉義市東區芳安里芳安路195號,2017/4/12 14:01,關聖帝君
財團法人嘉義市南順宮,嘉義市,東區,道教,23.4697445,120.4586985,05-2242033,,嘉義市東區宣信里興業東路399號,2017/4/12 14:01,天上聖母
財團法人嘉義天玄宮,嘉義市,東區,道教,23.474679,120.4615509,05-2270620,,嘉義市東區新開里體育路11號,2017/4/12 14:01,天上聖母
忠義十九公廟,嘉義市,東區,道教,23.4806138,120.4594318,05-2783991,,嘉義市東區華南里公明路111號,2017/4/12 14:01,十九公
頂安宮,嘉義市,東區,道教,23.466817,120.455928,05-2259148,,嘉義市東區頂寮里南興路145巷13號,2017/4/12 14:01,觀音佛祖
布街境開基古廟,嘉義市,東區,道教,23.4797868,120.4524333,05-2223109,,嘉義市東區中央里公明路255-1號,2017/4/12 14:01,福德正神
玉皇宮,嘉義市,東區,道教,23.4779116,120.4582953,05-2782249,,嘉義市東區華南里安和街66號,2017/4/12 14:01,玉皇上帝
龍山大廈宮,嘉義市,東區,道教,23.4779783,120.4582231,05-2782711,,嘉義市東區華南里安和街68號,2017/4/12 14:01,城隍爺夫人
協安宮,嘉義市,東區,道教,23.4789285,120.4563093,05-2226458,,嘉義市東區華南里文昌街96號,2017/4/12 14:01,天上聖母
真武宮,嘉義市,東區,道教,23.4902559,120.4660713,05-2752543,,嘉義市東區新店里林森東路364巷6號,2017/4/12 14:01,玄天上帝
太平祠,嘉義市,東區,道教,23.4896591,120.4571618,05-2316000,,嘉義市東區太平里維新路169號,2017/4/12 14:01,太平爺公
嘉邑震安宮,嘉義市,東區,道教,23.475409,120.450859,05-2224337,,嘉義市東區震安里民族路414號,2017/4/12 14:01,玄天上帝
鎮山宮,嘉義市,東區,道教,23.477244,120.4752706,05-2761087,,嘉義市東區長竹里大雅路二段337號,2017/4/12 14:01,池府千歲
混天宮,嘉義市,東區,道教,23.4868697,120.474802,05-2768949,,嘉義市東區短竹里水源地30號,2017/4/12 14:01,太子元帥
三仙宮,嘉義市,東區,道教,23.4657431,120.4679292,05-2764286,,嘉義市東區蘭潭里小雅路523號,2017/4/12 14:01,朱三懿仙姑
福山宮,嘉義市,東區,道教,23.4929579,120.4512159,05-2711099,,嘉義市東區蘭潭里立德街96號,2017/4/12 14:01,玄天上帝
光正萬教宮,嘉義市,東區,道教,23.4657431,120.4679292,05-2762072,,嘉義市東區短竹里彌陀路162巷29號,2017/4/12 14:01,玉皇大天尊
萬台宮,嘉義市,東區,道教,23.4929579,120.4512159,05-2784916,,嘉義市東區中庄里台斗街97-21號,2017/4/12 14:01,林府將軍
仁武宮,嘉義市,,道教,23.4815218,120.4508764,05-2276283,,嘉義市中央里北榮街54號,2017/4/12 14:01,保生大帝
嘉義市北門口先天宮五年千歲廟,嘉義市,東區,道教,23.4853137,120.4517125,05-2781619,,嘉義市東區北門里林森西路7巷19號,2017/4/12 14:01,五年千歲
廣寧宮三山國王,嘉義市,東區,道教,23.4795616,120.4500425,05-2251651,,嘉義市東區大街里成仁街142號,2017/4/12 14:01,三山國王
上帝廟,嘉義市,東區,道教,23.4890326,120.4534375,05-2770178,,嘉義市東區林森里忠孝路348號,2017/4/12 14:01,北極玄天上帝
聖賢宮,嘉義市,東區,道教,23.4872374,120.4550717,05-2785841,,嘉義市東區林森里維和街79號,2017/4/12 14:01,黎山老母
南開宮,嘉義市,東區,道教,23.4737823,120.4594226,05-2285767,,嘉義市東區新開里市宅街2號,2017/4/12 14:01,關聖帝君
玄武宮,嘉義市,東區,道教,23.4718591,120.4531858,05-2224336,,嘉義市東區豐年里崇文街119巷13號,2017/4/12 14:01,玄天上帝
北安宮,嘉義市,東區,道教,23.4854653,120.4516443,05-2786361,,嘉義市東區中央里林森西路17號,2017/4/12 14:01,福德正神
惠元宮,嘉義市,東區,道教,23.4670474,120.463769,05-2255823,,嘉義市東區芳草里草地尾40號,2017/4/12 14:01,神農大帝
朝陽宮,嘉義市,東區,道教,23.5083829,120.4450306,05-2323583,,嘉義市東區荖藤里荖藤宅29號,2017/4/12 14:01,池府千歲
三性宮,嘉義市,,道教,23.5052294,120.4527576,05-2759365,,嘉義市後湖里保義路238號,2017/4/12 14:01,保生大帝
三賢宮,嘉義市,東區,道教,23.5012485,120.4540121,05-2751880,,嘉義市東區後湖里保義路60巷72號,2017/4/12 14:01,保生大帝
嘉義市圳頭里福德宮,嘉義市,東區,道教,23.4804373,120.5018543,05-2789571,,嘉義市東區盧厝里2鄰81之1號,2017/4/12 14:01,福德正神
財團法人嘉義市鎮南聖神宮,嘉義市,東區,道教,23.4773818,120.4558291,05-2239733,,嘉義市東區民族里共和路118號,2017/4/12 14:01,五府千歲
財團法人嘉義市雙忠廟,嘉義市,東區,道教,23.4787799,120.4544908,05-2271767,,嘉義市東區民族里忠孝路88號,2017/4/12 14:01,張巡元帥 許遠元帥
三台宮,嘉義市,東區,道教,23.4942521,120.4526381,05-2764139,,嘉義市東區仁義里忠孝路542號,2017/4/12 14:01,保生大帝
東安宮,嘉義市,東區,道教,23.4802647,120.4561134,05-2232396,,嘉義市東區東興里公明路139號,2017/4/12 14:01,福德正神
順興宮,嘉義市,東區,道教,23.4599807,120.4520291,05-2256410,,嘉義市東區興安里興安街129-1號,2017/4/12 14:01,天上聖母
懷安宮,嘉義市,東區,道教,23.4818236,120.4519057,05-2289411,,嘉義市東區中央里北榮街22號,2017/4/12 14:01,五府千歲
順田宮,嘉義市,東區,道教,23.4735389,120.4566451,05-2278409,,嘉義市東區宣信里宣信街452號,2017/4/12 14:01,福德正神
大明禪寺,嘉義市,東區,佛教,23.4647283,120.4635659,05-2279848,,嘉義市東區芳安里立仁路126號,2017/4/12 14:01,釋迦牟尼佛
財團法人嘉義市慈龍寺,嘉義市,東區,佛教,23.4833278,120.4499353,05-2784775,,嘉義市東區北門里長榮街206號,2017/4/12 14:01,觀世音菩薩
廣寧宮,嘉義市,東區,道教,23.4688365,120.4567385,05-2292594,,嘉義市東區安寮里南田路13之1號,2017/4/12 14:01,三山國王
佛光山圓福寺,嘉義市,東區,佛教,23.4844379,120.4643437,05-2769675,,嘉義市東區王田里15鄰圓福街37號,2017/4/12 14:01,釋迦牟尼佛
鎮安寺,嘉義市,東區,佛教,23.4895298,120.490922,05-2768366,,嘉義市東區盧厝里盧厝39號,2017/4/12 14:01,觀音佛祖
彌陀禪寺,嘉義市,東區,佛教,23.4626907,120.470015,05-2224203,,嘉義市東區芳草里彌陀路1號,2017/4/12 14:01,南無本師釋迦牟尼佛
慈善佛院,嘉義市,東區,一貫道,23.4974521,120.4801017,05-2768628,,嘉義市東區後庄里林森東路691巷157弄6號,2017/4/12 14:01,明明上帝
化古寺,嘉義市,東區,佛教,23.4718591,120.4531858,05-2224336,,嘉義市東區豐年里崇文街119巷13號,2017/4/12 14:01,觀音佛祖
天龍寺,嘉義市,東區,佛教,23.4791223,120.4663331,05-2764437,,嘉義市東區東川里公園街183號,2017/4/12 14:01,釋迦牟尼佛
圓善寺,嘉義市,東區,佛教,23.483128,120.4606873,05-2782643,,嘉義市東區中山里安樂街72號,2017/4/12 14:01,釋迦牟尼佛
普照寺,嘉義市,東區,佛教,23.4859135,120.4836805,05-2762031,,嘉義市東區盧厝里盧義路490巷68號,2017/4/12 14:01,釋迦牟尼佛
福慧寺,嘉義市,東區,佛教,23.5006665,120.4546088,05-2774080,,嘉義市東區義教里保健街65號,2017/4/12 14:01,阿彌陀佛
文財殿,嘉義市,,道教,23.491588,120.470155,05-2766028,,嘉義市圳頭里林森東路470巷67號,2017/4/12 14:01,文財尊神
慈玄宮,嘉義市,東區,道教,23.4550418,120.4564717,05-2393957,,嘉義市東區興村里溪興街28號之2,2017/4/12 14:01,濟公
嘉義市福正宮,嘉義市,,道教,23.491787,120.483716,05-2768737,,嘉義市圳頭里盧厝160號之16之1,2017/4/12 14:01,福德正神
嘉義褒忠義民廟,嘉義市,,道教,23.4688524,120.4571806,05-2258046,,嘉義市安寮里南田路15號,2017/4/12 14:01,義民爺公
嘉義市九天殿共義堂,嘉義市,東區,道教,23.4756955,120.4581885,05-2784237,,嘉義市東區朝陽里朝陽街106號,2017/4/12 14:01,地藏王菩薩
嘉邑南興宮,嘉義市,東區,道教,23.457145,120.4596536,05-2309316,,嘉義市東區興仁里興仁街245號,2017/4/12 14:01,天上聖母
天上聖母太子宮,嘉義市,東區,道教,23.4789189,120.4763667,05-2778049,,嘉義市東區長竹里大雅路二段42號,2017/4/12 14:01,天上聖母
財團法人妙雲蘭若,嘉義市,東區,佛教,23.4892828,120.4709701,05-2765143,,嘉義市東區圳頭里盧厝135號,2017/4/12 14:01,釋迦牟尼佛
萬里千君廟,嘉義市,,道教,23.4644986,120.4563218,05-2229023,,嘉義市安寮里吳鳳南路365巷55弄24號,2017/4/12 14:01,萬里千君
嘉義市東區新興古廟,嘉義市,東區,道教,23.4686148,120.4639012,05-2288398,,嘉義市東區芳草里2鄰芳安路73巷5號,2017/4/12 14:01,福德正神
財團法人台灣省嘉義市保生大帝震安宮,嘉義市,西區,道教,23.4760615,120.4434176,05-2283474,,嘉義市西區書院里西門街168號,2017/4/12 14:01,保生大帝
財團法人台灣省嘉義市遊天宮,嘉義市,西區,道教,23.4753969,120.441954,05-2284781,,嘉義市西區書院里民族路750號,2017/4/12 14:01,天上聖母
財團法人台灣省嘉義市福社宮,嘉義市,西區,道教,23.4815019,120.4471888,05-2278416,,嘉義市西區番社里忠義街179號,2017/4/12 14:01,福德正神
財團法人台灣省嘉義市南天門太子行宮,嘉義市,西區,道教,23.4799135,120.4346419,05-2314847,,嘉義市西區福全里友愛路156號,2017/4/12 14:01,哪吒三太子
財團法人台灣省嘉義市真武宮,嘉義市,西區,道教,23.4682412,120.4057355,05-2361662,,嘉義市西區頭港里玉山路1013號,2017/4/12 14:01,玄天上帝
財團法人台灣省嘉義市水得寺觀音佛祖廟,嘉義市,西區,佛教,23.4551408,120.4379788,05-2857373,,嘉義市西區湖內里民生南路938巷7號,2017/4/12 14:01,觀音佛祖
財團法人台灣省嘉義市鵬思宮,嘉義市,西區,道教,23.484412,120.4388228,05-2321247,,嘉義市西區竹圍里友忠路723巷20號,2017/4/12 14:01,五府千歲
西安宮,嘉義市,西區,道教,23.4785841,120.4419921,05-2235148,,嘉義市西區書院里中正路689巷1號,2017/4/12 14:01,四城隍
南遊宮,嘉義市,西區,道教,23.474073,120.4406561,05-2245377,,嘉義市西區永和里康樂街257號,2017/4/12 14:01,天上聖母
關廂境廟,嘉義市,西區,道教,23.4785129,120.4492101,05-2281291,,嘉義市西區文化里中央第二商場3號,2017/4/12 14:01,福德正神
慈濟宮,嘉義市,西區,道教,23.4802847,120.4488395,05-2225162,,嘉義市西區國華里國華街216巷2號,2017/4/12 14:01,五府千歲
順安宮,嘉義市,西區,道教,23.4823986,120.4459007,05-2238888,,嘉義市西區國華里民生北路322號,2017/4/12 14:01,五年千歲
鎮安宮,嘉義市,西區,道教,23.482757,120.422726,05-2332791,,嘉義市西區福安里姜文街238號,2017/4/12 14:01,池府千歲
財團法人嘉義市伏龍宮,嘉義市,西區,道教,23.4765708,120.4329596,05-2334519,,嘉義市西區福全里博愛路二段396號,2017/4/12 14:01,天上聖母
劉厝代天府廟,嘉義市,西區,道教,23.4622134,120.4171127,05-2363542,,嘉義市西區劉厝里劉厝70號之1,2017/4/12 14:01,五府千歲
太極宮,嘉義市,西區,道教,23.4713696,120.4167365,05-2357429,,嘉義市西區港坪里育人路165巷48號,2017/4/12 14:01,玄天上帝
彰武宮,嘉義市,西區,道教,23.4739091,120.4062913,05-2860288,,嘉義市西區頭港里育人路611號,2017/4/12 14:01,北極玄天上帝
財團法人嘉義市龍安宮,嘉義市,西區,道教,23.4744181,120.4342923,05-2358527,,嘉義市西區西平里信義路58號,2017/4/12 14:01,玄天上帝
紫微宮,嘉義市,西區,道教,23.4806489,120.40299,05-2370027,,嘉義市西區大溪里大溪路593號,2017/4/12 14:01,玄天上帝　
嘉義市白蓮宮,嘉義市,西區,道教,23.4768972,120.4291232,05-2360297,,嘉義市西區磚磘里大同路123號,2017/4/12 14:01,羅周千歲
南隱宮,嘉義市,西區,道教,23.4784577,120.4261785,05-2357207,,嘉義市西區西平里永春二街33號,2017/4/12 14:01,道濟古佛
嘉興宮,嘉義市,西區,道教,23.4727219,120.448016,05-2230429,,嘉義市西區導民里成功東街56號,2017/4/12 14:01,延平郡王
先天宮,嘉義市,西區,道教,23.4724058,120.4437912,05-2233753,,嘉義市西區培元里西門街26號,2017/4/12 14:01,五年千歲
堯天宮,嘉義市,西區,道教,23.4713348,120.4408007,05-2851526,,嘉義市西區垂楊里建成街67巷1號附1,2017/4/12 14:01,吳府千歲
配南宮,嘉義市,西區,道教,23.4728623,120.4402117,05-2852230,,嘉義市西區垂楊里垂楊路573號,2017/4/12 14:01,媽祖
萬善公廟,嘉義市,西區,道教,23.4646023,120.4309587,05-2350828,,嘉義市西區車店里上海路1號,2017/4/12 14:01,萬善公
開山尊王廟,嘉義市,西區,道教,23.4657925,120.434362,05-2854689,,嘉義市西區車店里車店街2號,2017/4/12 14:01,開山尊王
應天宮,嘉義市,西區,道教,23.4631252,120.4317061,05-2353189,,嘉義市西區福民里重慶路374號,2017/4/12 14:01,觀世音菩薩
上帝廟,嘉義市,西區,道教,23.4542817,120.4378053,05-2361776,,嘉義市西區湖內里民生南路840號,2017/4/12 14:01,玄天上帝
保安廟,嘉義市,西區,道教,23.4571382,120.4436205,05-2366214,,嘉義市西區獅子里民生南路628號,2017/4/12 14:01,羅安公
武當山玄天上帝廟,嘉義市,西區,道教,23.460765,120.4399451,05-2860764,,嘉義市西區光路里新民路555巷8號,2017/4/12 14:01,玄天上帝
嘉義市堯天府,嘉義市,西區,道教,23.4861379,120.4387038,05-2321070,,嘉義市西區重興里坤明街66號,2017/4/12 14:01,李府千歲
王靈宮五顯帝廟,嘉義市,西區,道教,23.4876256,120.4449492,05-2324696,,嘉義市西區北榮里向榮街255號,2017/4/12 14:01,五顯大帝
北嶽廟,嘉義市,西區,道教,23.4833782,120.4432055,05-2314538,,嘉義市西區慶安里北興街74號,2017/4/12 14:01,地藏王菩薩
聖安宮,嘉義市,西區,道教,23.4834354,120.4415387,05-2332074,,嘉義市西區後驛里後驛街140巷5號,2017/4/12 14:01,天上聖母
富安宮,嘉義市,西區,道教,23.4826014,120.4403802,05-2605668,,嘉義市西區後驛里博愛路二段89號,2017/4/12 14:01,朱府千歲
代天宮,嘉義市,西區,道教,23.4858855,120.4354486,05-2325276,,嘉義市西區竹圍里友孝路216號,2017/4/12 14:01,五府千歲
慈靈宮,嘉義市,西區,道教,23.4827122,120.435626,05-2325367,,嘉義市西區竹圍里友孝路110號,2017/4/12 14:01,觀音佛祖
保安宮,嘉義市,西區,道教,23.4904736,120.4338146,05-2321655,,嘉義市西區保安里自由路245號,2017/4/12 14:01,保生大帝
元一宮,嘉義市,西區,一貫道,23.490514,120.4423772,05-2324309,,嘉義市西區新厝里友忠路961號,2017/4/12 14:01,明明上帝
炳靈宮五顯帝廟,嘉義市,西區,道教,23.4911205,120.4408983,05-2348078,,嘉義市西區新厝里龍江街108號,2017/4/12 14:01,五顯大帝
嘉義市鎮北宮,嘉義市,西區,道教,23.4924938,120.4227933,05-2379907,,嘉義市西區北湖里北社尾路353號,2017/4/12 14:01,城隍尊神 玄天上帝
朱子公廟,嘉義市,西區,道教,23.4876968,120.4132813,05-2372223,,嘉義市西區下埤里北港路898號,2017/4/12 14:01,朱文公
鎮安宮,嘉義市,西區,道教,23.4928023,120.4153413,05-2372746,,嘉義市西區下埤里頂埤57號,2017/4/12 14:01,保生大帝
保德宮,嘉義市,西區,道教,23.4943705,120.3973955,05-2372068,,嘉義市西區竹村里竹子腳45號之1,2017/4/12 14:01,保生大帝
聖興宮,嘉義市,西區,道教,23.4705568,120.4370657,05-2858188,,嘉義市西區新西里上海路375號,2017/4/12 14:01,天上聖母
伏魔北威宮,嘉義市,西區,道教,23.4746424,120.4434682,05-2232995,,嘉義市西區書院里西門街102號,2017/4/12 14:01,玄天上帝
嘉義市真如禪寺,嘉義市,西區,佛教,23.475471,120.4242264,05-2355949,,嘉義市西區磚磘里永康二街33號,2017/4/12 14:01,釋迦牟尼佛
